Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
10/03/2004;18:00:00;2.6;1360.0;150;11.881723488680304;1045.5;166.0;1056.25;113.0;1692.0;1267.5;13.599999904633;48.875000953674;0.7577538251293606
10/03/2004;19:00:00;2.0;1292.25;112;9.397164889581603;954.75;103.0;1173.75;92.0;1558.75;972.25;13.299999952316;47.699999809265;0.7254874492424674
10/03/2004;20:00:00;2.2;1402.0;88;8.997816871326798;939.25;131.0;1140.0;114.0;1554.5;1074.0;11.900000095367;53.97500038147;0.7502390673981953
10/03/2004;21:00:00;2.2;1375.5;80;9.228796421407274;948.25;172.0;1092.0;122.0;1583.75;1203.25;11.0;60.0;0.7867125330859253
10/03/2004;22:00:00;1.6;1272.25;51;6.518223669074141;835.5;131.0;1205.0;116.0;1490.0;1110.0;11.150000095367;59.575000762939;0.7887942318667593
10/03/2004;23:00:00;1.2;1197.0;38;4.741012362478748;750.25;89.0;1336.5;96.0;1393.0;949.25;11.175000190735;59.175000190735;0.7847716643397448
11/03/2004;00:00:00;1.2;1185.0;31;3.624399189797516;689.5;62.0;1461.75;77.0;1332.75;732.5;11.324999809265;56.77499961853;0.7603119392843289
11/03/2004;01:00:00;1.0;1136.25;31;3.3266769916607997;672.0;62.0;1453.25;76.0;1332.75;729.5;10.674999952316;60.0;0.7702384578230451
11/03/2004;02:00:00;0.9;1094.0;24;2.3394161950867094;608.5;45.0;1579.0;60.0;1276.0;619.5;10.650000095367;59.674999237061;0.7648187256861201
11/03/2004;03:00:00;0.6;1009.75;19;1.6966582576513223;560.75;-200.0;1705.0;-200.0;1234.75;501.25;10.250000238419;60.200000762939;0.7516571648306898
11/03/2004;04:00:00;-200.0;1011.0;14;1.2936197573720989;526.75;21.0;1817.5;34.0;1196.75;445.25;10.075000047684;60.474999427795;0.7464945161292466
11/03/2004;05:00:00;0.7;1066.0;8;1.1334305711878574;512.0;16.0;1918.0;28.0;1182.0;421.75;10.999999761581;56.175000190735;0.7365596001806396
11/03/2004;06:00:00;0.7;1051.75;16;1.6037678797288073;553.25;34.0;1738.25;48.0;1221.25;471.5;10.450000047684;58.125;0.7352950830247281
11/03/2004;07:00:00;1.1;1144.0;29;3.2436181473100727;667.0;98.0;1489.75;82.0;1339.0;729.75;10.200000047684;59.599999427795;0.7417361628563275
