"Country Code","Region","IncomeGroup","SpecialNotes","TableName",
"ABW","Latin America & Caribbean","High income","","Aruba",
"AFE","","","26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)","Africa Eastern and Southern",
"AFG","South Asia","Low income","Fiscal year end: March 20; reporting period for national accounts data: FY.","Afghanistan",
"AFW","","","22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)","Africa Western and Central",
"AGO","Sub-Saharan Africa","Lower middle income","","Angola",
"ALB","Europe & Central Asia","Upper middle income","","Albania",
"AND","Europe & Central Asia","High income","","Andorra",
"ARB","","","Arab World aggregate. Arab World is composed of members of the League of Arab States.","Arab World",
"ARE","Middle East & North Africa","High income","","United Arab Emirates",
"ARG","Latin America & Caribbean","Upper middle income","","Argentina",
"ARM","Europe & Central Asia","Upper middle income","","Armenia",
"ASM","East Asia & Pacific","Upper middle income","","American Samoa",
"ATG","Latin America & Caribbean","High income","","Antigua and Barbuda",
"AUS","East Asia & Pacific","High income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Australia",
"AUT","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Austria",
"AZE","Europe & Central Asia","Upper middle income","","Azerbaijan",
"BDI","Sub-Saharan Africa","Low income","","Burundi",
"BEL","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Belgium",
"BEN","Sub-Saharan Africa","Lower middle income","","Benin",
"BFA","Sub-Saharan Africa","Low income","","Burkina Faso",
"BGD","South Asia","Lower middle income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Bangladesh",
"BGR","Europe & Central Asia","Upper middle income","","Bulgaria",
"BHR","Middle East & North Africa","High income","","Bahrain",
"BHS","Latin America & Caribbean","High income","","Bahamas, The",
"BIH","Europe & Central Asia","Upper middle income","","Bosnia and Herzegovina",
"BLR","Europe & Central Asia","Upper middle income","Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)","Belarus",
"BLZ","Latin America & Caribbean","Lower middle income","","Belize",
"BMU","North America","High income","","Bermuda",
"BOL","Latin America & Caribbean","Lower middle income","","Bolivia",
"BRA","Latin America & Caribbean","Upper middle income","","Brazil",
"BRB","Latin America & Caribbean","High income","","Barbados",
"BRN","East Asia & Pacific","High income","","Brunei Darussalam",
"BTN","South Asia","Lower middle income","","Bhutan",
"BWA","Sub-Saharan Africa","Upper middle income","","Botswana",
"CAF","Sub-Saharan Africa","Low income","","Central African Republic",
"CAN","North America","High income","Fiscal year end: March 31; reporting period for national accounts data: CY.","Canada",
"CEB","","","Central Europe and the Baltics aggregate.","Central Europe and the Baltics",
"CHE","Europe & Central Asia","High income","","Switzerland",
"CHI","Europe & Central Asia","High income","","Channel Islands",
"CHL","Latin America & Caribbean","High income","","Chile",
"CHN","East Asia & Pacific","Upper middle income","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.","China",
"CIV","Sub-Saharan Africa","Lower middle income","","Côte d'Ivoire",
"CMR","Sub-Saharan Africa","Lower middle income","","Cameroon",
"COD","Sub-Saharan Africa","Low income","","Congo, Dem. Rep.",
"COG","Sub-Saharan Africa","Lower middle income","","Congo, Rep.",
"COL","Latin America & Caribbean","Upper middle income","","Colombia",
"COM","Sub-Saharan Africa","Lower middle income","","Comoros",
"CPV","Sub-Saharan Africa","Lower middle income","","Cabo Verde",
"CRI","Latin America & Caribbean","Upper middle income","","Costa Rica",
"CSS","","","","Caribbean small states",
"CUB","Latin America & Caribbean","Upper middle income","","Cuba",
"CUW","Latin America & Caribbean","High income","","Curaçao",
"CYM","Latin America & Caribbean","High income","","Cayman Islands",
