date,price,location,clicks
4/1/08,43.15564682,2,18784
4/2/08,43.07905583,1,24738
4/3/08,43.84260922,2,15209
4/4/08,43.31237591,1,14018
4/5/08,43.94117647,1,11974
4/6/08,44.40393627,1,11007
4/7/08,43.99588759,2,15214
4/8/08,43.37377342,1,11333
4/9/08,43.3203125,1,7026
4/10/08,43.15473756,5,15677
4/11/08,42.92165899,2,10792
4/12/08,42.71320755,1,8642
4/13/08,43.54693367,1,6400
4/14/08,44.4093473,1,11971
4/15/08,42.20701754,1,9830
4/16/08,43.18156028,2,15226
4/17/08,44.05149254,1,11540
4/18/08,42.34208754,1,16759
4/19/08,42.2296764,2,18493
4/20/08,43.30626655,1,10504
4/21/08,43.24743777,1,16657
4/22/08,42.87278583,2,10232
4/23/08,43.53069153,2,15623
4/24/08,43.41507634,2,7728
4/25/08,42.26779661,1,6868
4/26/08,42.41653418,1,5479
4/27/08,44.22765197,5,6357
4/28/08,42.64935065,2,8626
4/29/08,42.37521968,2,15704
4/30/08,42.90316004,1,7933
5/1/08,43.22430939,2,14467
5/2/08,44.03172205,2,4562
5/3/08,43.03038674,5,2044
5/4/08,43.10958904,1,7909
5/5/08,43.87172012,1,9313
5/6/08,43.56942949,5,6361
5/7/08,42.98898072,2,7425
5/8/08,42.45890411,2,22790
5/9/08,42.87135922,1,7847
5/10/08,42.5762987,1,4863
5/11/08,43.40588988,5,6511
5/12/08,43.25832583,2,17426
5/13/08,42.71447903,2,4160
5/14/08,43.37278583,5,9841
5/15/08,42.51775487,2,
5/16/08,44.01100917,2,
5/17/08,42.53030303,2,
5/18/08,42.56569848,5,
5/19/08,43.89299611,2,
5/20/08,43.24770642,2,
5/21/08,44.10628875,1,
5/22/08,43.81071429,1,
5/23/08,43.62080173,1,
5/24/08,43.8540305,2,
5/25/08,43.58670989,2,
5/26/08,43.67065868,1,
5/27/08,42.85018382,2,
5/28/08,43.70214669,5,
5/29/08,43.87232143,1,
5/30/08,44.55801105,5,
5/31/08,43.10042735,2,3194
6/1/08,42.875,2,5038
6/2/08,43.40695067,2,5879
6/3/08,42.95750452,5,7563
6/4/08,42.93039918,2,8584
6/5/08,42.80188679,2,7315
6/6/08,43.74047619,2,6541
6/7/08,43.82372881,1,3755
6/8/08,43.7804878,2,5410
6/9/08,43.43035343,2,7106
6/10/08,43.65303867,2,5446
6/11/08,43.26116071,1,7536
6/12/08,43.34815618,1,14125
6/13/08,43.51061453,1,10914
6/14/08,43.48706897,2,2540
6/15/08,43.47259259,1,4927
6/16/08,43.02358974,1,6476
6/17/08,43.16155419,2,8613
6/18/08,43.90396158,2,5352
6/19/08,43.09173387,1,7790
6/20/08,42.93851945,1,5367
6/21/08,43.06104129,1,6555
6/22/08,42.9886202,1,11394
6/23/08,44.48962149,2,5853
6/24/08,43.33365477,1,8332
6/25/08,43.61978022,5,6126
6/26/08,43.88075314,1,8931
6/27/08,43.8088411,1,6153
6/28/08,44.6015748,2,5787
6/29/08,43.10641026,1,5822
6/30/08,43.62130178,2,7608
7/1/08,43.68263473,1,5691
7/2/08,42.85501066,2,12074
7/3/08,42.85071942,1,12211
7/4/08,43.94325347,1,6949
7/5/08,43.69230769,2,5958
7/6/08,42.7087846,1,9568
7/7/08,43.8231982,2,7106
7/8/08,44.04253545,2,9650
7/9/08,44.01767152,2,8311
7/10/08,44.04991087,1,8753
7/11/08,43.3573487,1,8213
7/12/08,43.2442953,1,8404
7/13/08,43.5148771,1,8382
7/14/08,43.34066901,1,9934
7/15/08,43.23654917,1,13787
7/16/08,44.33719967,1,17538
7/17/08,44.06615776,1,14719
7/18/08,44.55303933,1,6653
7/19/08,44.45111111,1,2813
7/20/08,44.48681319,1,7836
7/21/08,44.70593963,1,9207
7/22/08,43.76391097,1,9910
7/23/08,43.27415359,1,13508
7/24/08,43.99685287,1,11904
7/25/08,42.98065764,1,10309
7/26/08,42.87343358,1,8694
7/27/08,44.05146036,2,5845
7/28/08,43.96969697,1,9987
7/29/08,43.15566038,2,10446
7/30/08,43.89874739,1,8537
7/31/08,43.53210011,1,6237
8/1/08,43.63927428,1,8278
8/2/08,45.8016129,4,4378
8/3/08,43.74025974,1,23152
8/4/08,44.23758278,1,9931
8/5/08,43.80176991,1,8388
8/6/08,43.91717583,1,29505
8/7/08,44.25460455,1,8391
8/8/08,43.73083624,1,13744
8/9/08,44.1820331,1,6716
8/10/08,43.60826033,1,9523
8/11/08,43.55336323,1,8881
8/12/08,44.50046948,1,7272
8/13/08,42.75129534,1,2922
