Purchase ID,SN,Age,Gender,Item ID,Item Name,Price
0,Lisim78,20,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53
1,Lisovynya38,40,Male,143,Frenzied Scimitar,1.56
2,Ithergue48,24,Male,92,Final Critic,4.88
3,Chamassasya86,24,Male,100,Blindscythe,3.27
4,Iskosia90,23,Male,131,Fury,1.44
5,Yalae81,22,Male,81,Dreamkiss,3.61
6,Itheria73,36,Male,169,"Interrogator, Blood Blade of the Queen",2.18
7,Iskjaskst81,20,Male,162,Abyssal Shard,2.67
8,Undjask33,22,Male,21,Souleater,1.1
9,Chanosian48,35,Other / Non-Disclosed,136,Ghastly Adamantite Protector,3.58
10,Inguron55,23,Male,95,Singed Onyx Warscythe,4.74
11,Haisrisuir60,23,Male,162,Abyssal Shard,2.67
12,Saelaephos52,21,Male,116,Renewed Skeletal Katana,4.18
13,Assjaskan73,22,Male,4,Bloodlord's Fetish,1.7
14,Saesrideu94,35,Male,165,Bone Crushing Silver Skewer,4.86
15,Lisassa64,21,Female,98,"Deadline, Voice Of Subtlety",2.89
16,Lisirra25,20,Male,40,Second Chance,2.52
17,Zontibe81,21,Male,161,Devine,1.76
18,Reunasu60,22,Female,82,Nirvana,4.9
19,Chamalo71,30,Male,89,"Blazefury, Protector of Delusions",4.64
20,Iathenudil29,20,Male,57,"Despair, Favor of Due Diligence",4.6
21,Phiarithdeu40,20,Male,168,"Sun Strike, Jaws of Twisted Visions",1.48
22,Siarithria38,38,Other / Non-Disclosed,24,Warped Fetish,3.81
23,Eyrian71,40,Male,151,Severance,3.4
24,Siala43,30,Male,132,Persuasion,3.19
25,Lisirra87,29,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
26,Lirtossa84,11,Male,71,Demise,1.61
27,Eusri44,7,Male,96,Blood-Forged Skeletal Spine,3.09
28,Aela59,21,Male,119,"Stormbringer, Dark Blade of Ending Misery",4.32
29,Tyida79,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16
30,Idai61,19,Male,140,Striker,2.94
31,Farusrian86,37,Male,179,"Wolf, Promise of the Moonwalker",4.48
32,Aeralria27,10,Male,133,Faith's Scimitar,4.09
33,Haillyrgue51,7,Male,44,Bonecarvin Battle Axe,2.38
34,Sondim73,19,Male,160,Azurewrath,4.4
35,Jeyciman68,22,Male,53,Vengeance Cleaver,2.05
36,Idaisuir85,30,Male,76,Haunted Bronzed Bludgeon,3.15
37,Seuthep89,8,Male,73,Ritual Mace,2.05
38,Reulae52,10,Female,116,Renewed Skeletal Katana,4.18
39,Sondilsaya62,21,Male,172,Blade of the Grave,3.14
40,Aerithriaphos45,20,Male,143,Frenzied Scimitar,1.56
41,Assosia88,20,Female,7,"Thorn, Satchel of Dark Souls",1.33
42,Aidaillodeu39,18,Male,72,Winter's Bite,3.77
43,Aelly27,24,Male,116,Renewed Skeletal Katana,4.18
44,Tyeosri53,24,Male,9,"Thorn, Conqueror of the Corrupted",2.73
45,Haerith37,23,Male,181,Reaper's Toll,1.66
46,Yasrisu92,27,Male,102,Avenger,3.44
47,Chanuchi25,20,Male,170,Shadowsteel,3.97
48,Asur96,20,Male,138,"Peacekeeper, Wit of Dark Magic",4.74
49,Iaralrgue74,33,Male,110,Suspension,1.44
50,Saelaephos52,21,Male,22,Amnesia,2.18
51,Chanosia34,22,Male,15,Soul Infused Crystal,2.96
52,Aelin32,20,Male,60,Wolf,3.54
53,Ilosianya35,32,Male,176,Relentless Iron Skewer,2.84
54,Zhisrisu83,10,Male,25,Hero Cane,4.35
55,Phaelap26,25,Female,84,Arcane Gem,3.79
56,Raesty92,12,Male,108,"Extraction, Quickblade Of Trembling Hands",3.53
57,Palyon91,21,Male,80,Dreamsong,3.39
58,Tyisur83,23,Male,152,Darkheart,1.74
59,Yaliru88,19,Male,105,Hailstorm Shadowsteel Scythe,3.03
60,Yadanu52,34,Male,44,Bonecarvin Battle Axe,2.38
61,Jiskimya77,17,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
62,Yadaphos40,30,Male,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
63,Alo38,20,Male,125,Whistling Mithril Warblade,1
64,Phaena87,20,Male,56,Foul Titanium Battle Axe,2.92
65,Chamirraya83,25,Male,34,Retribution Axe,2.22
66,Chanastsda67,21,Female,6,Rusty Skull,3.7
67,Lisim78,20,Male,138,"Peacekeeper, Wit of Dark Magic",4.74
68,Indonmol95,15,Male,27,"Riddle, Tribute of Ended Dreams",3.3
69,Jiskossa61,24,Male,37,"Shadow Strike, Glory of Ending Hope",3.16
70,Pheodai94,29,Male,143,Frenzied Scimitar,1.56
71,Hari50,20,Female,29,"Chaos, Ender of the End",1.98
72,Marilsa69,25,Female,178,"Oathbreaker, Last Hope of the Breaking Storm",4.23
73,Assistasda42,21,Male,68,"Storm-Weaver, Slayer of Inception",4.32
74,Lisosia93,25,Male,89,"Blazefury, Protector of Delusions",4.64
75,Philodil43,33,Male,124,Venom Claymore,1.29
76,Mindadaran26,13,Female,88,"Emberling, Defender of Delusions",3.75
77,Lirtosia63,34,Male,20,Netherbane,3.27
78,Haillyrgue51,7,Male,50,Dawn,4.6
79,Assjaskan56,26,Male,15,Soul Infused Crystal,2.96
80,Irithlis29,23,Male,165,Bone Crushing Silver Skewer,4.86
81,Heudai45,8,Female,174,Primitive Blade,3.47
82,Haerithp41,16,Other / Non-Disclosed,160,Azurewrath,4.4
83,Aina42,25,Male,12,Dawne,1.02
84,Jiskjask60,21,Female,34,Retribution Axe,2.22
85,Umolrian85,32,Female,33,Curved Axe,1.16
86,Qarirwen82,33,Male,129,"Fate, Vengeance of Eternal Justice",1.54
87,Aelin32,20,Male,151,Severance,3.4
88,Laedallo55,30,Male,82,Nirvana,4.9
89,Eoralrap26,22,Male,17,"Lazarus, Terror of the Earth",1.7
90,Undosian34,21,Male,60,Wolf,3.54
91,Chadolyla44,20,Male,59,"Lightning, Etcher of the King",4.23
92,Chadistaya75,21,Female,39,"Betrayal, Whisper of Grieving Widows",3.94
93,Yathedeu43,22,Male,88,"Emberling, Defender of Delusions",3.75
94,Aina43,19,Male,96,Blood-Forged Skeletal Spine,3.09
95,Ilassast39,18,Male,164,Exiled Doomblade,1.63
96,Lisassala98,16,Male,56,Foul Titanium Battle Axe,2.92
97,Aiduecal76,20,Male,134,Undead Crusader,4.5
98,Chadossa89,23,Male,132,Persuasion,3.19
99,Haisrisuir60,23,Male,92,Final Critic,4.19
100,Pheodaisun84,30,Male,12,Dawne,1.02
101,Heollyriap59,21,Male,174,Primitive Blade,3.47
102,Maropast28,24,Male,109,"Downfall, Scalpel Of The Emperor",4.76
103,Frichim77,24,Male,7,"Thorn, Satchel of Dark Souls",1.33
104,Thryallym62,24,Male,53,Vengeance Cleaver,2.05
105,Eulanurin88,27,Male,10,Sleepwalker,1.79
106,Lassjaskan73,22,Male,54,Eternal Cleaver,2.5
107,Tyaerith73,36,Male,99,"Expiration, Warscythe Of Lost Worlds",1.71
108,Sondadarya58,19,Male,85,Malificent Bag,1.75
109,Hirirap39,22,Male,33,Curved Axe,1.16
110,Ririp86,25,Male,139,"Mercy, Katana of Dismay",4.94
111,Sundim98,21,Other / Non-Disclosed,41,Orbit,4.75
112,Iskichinya81,21,Female,7,"Thorn, Satchel of Dark Souls",1.33
113,Phyali88,15,Female,140,Striker,2.94
114,Undirrala66,22,Male,150,Deathraze,2.85
115,Nitherian58,28,Male,13,Serenity,1.41
116,Lassilsala30,21,Male,139,"Mercy, Katana of Dismay",4.94
117,Frichaststa61,21,Female,117,"Heartstriker, Legacy of the Light",1.79
118,Pheodaisun84,30,Male,78,"Glimmer, Ender of the Moon",4.4
119,Frichosia58,15,Female,87,"Deluge, Edge of the West",4.43
120,Lisosia93,25,Male,24,Warped Fetish,3.81
121,Ilosia37,23,Male,1,Crucifer,3.26
122,Lisista27,16,Male,174,Primitive Blade,3.47
123,Seudaillorap38,27,Male,81,Dreamkiss,3.61
124,Aesty53,21,Male,150,Deathraze,2.85
125,Yathecal82,20,Female,62,Piece Maker,1.87
126,Frichim77,24,Male,75,Brutality Ivory Warmace,2.42
127,Lisossanya98,37,Male,102,Avenger,3.44
128,Iral74,21,Male,58,"Freak's Bite, Favor of Holy Might",4.14
129,Lisast87,19,Male,74,Yearning Crusher,4.18
130,Maridisya31,25,Male,120,Agatha,3.08
131,Jiskassa76,22,Male,62,Piece Maker,1.87
132,Inguron55,23,Male,145,Fiery Glass Crusader,4.58
133,Phaena87,20,Male,0,Splinter,1.28
134,Phyali88,15,Female,2,Verdict,2.48
135,Ethriel85,30,Male,146,Warped Iron Scimitar,3.1
136,Iskirra45,22,Male,105,Hailstorm Shadowsteel Scythe,3.03
137,Iri67,20,Male,179,"Wolf, Promise of the Moonwalker",4.48
138,Rarallo90,33,Male,136,Ghastly Adamantite Protector,3.58
139,Lisasi93,13,Male,158,"Darkheart, Butcher of the Champion",2.45
140,Hari50,20,Female,8,"Purgatory, Gem of Regret",3.93
141,Zhisrisu83,10,Male,60,Wolf,3.54
142,Adastirin33,35,Female,175,Woeful Adamantite Claymore,4.48
143,Eyista89,34,Male,124,Venom Claymore,1.29
144,Ili43,18,Male,22,Amnesia,2.18
145,Chamirra53,23,Male,46,Hopeless Ebon Dualblade,1.33
146,Aidaillodeu39,18,Male,133,Faith's Scimitar,4.09
147,Hailaphos89,35,Male,24,Warped Fetish,3.81
148,Iskadarya95,20,Male,148,"Warmonger, Gift of Suffering's End",4.03
149,Qilatista90,17,Male,161,Devine,1.76
150,Inasti31,17,Male,0,Splinter,1.28
151,Marilsanya48,25,Male,105,Hailstorm Shadowsteel Scythe,3.03
152,Marjask87,20,Male,110,Suspension,1.44
153,Chanjaskan89,21,Male,164,Exiled Doomblade,1.63
154,Hyaduesu61,20,Male,59,"Lightning, Etcher of the King",4.23
155,Aillyrin83,10,Female,98,"Deadline, Voice Of Subtlety",2.89
156,Eyrian71,40,Male,117,"Heartstriker, Legacy of the Light",1.79
157,Marast30,18,Female,108,"Extraction, Quickblade Of Trembling Hands",3.53
158,Sundadar27,31,Male,111,Misery's End,4.89
159,Tyaelorap29,25,Male,39,"Betrayal, Whisper of Grieving Widows",3.94
160,Lirtimst73,24,Male,44,Bonecarvin Battle Axe,2.38
161,Iri67,20,Male,3,Phantomlight,2.49
162,Styaduen40,17,Male,181,Reaper's Toll,1.66
163,Sidap51,11,Male,65,Conqueror Adamantite Mace,4.24
164,Chanastst38,22,Male,96,Blood-Forged Skeletal Spine,3.09
165,Lirtassa52,15,Male,183,Dragon's Greatsword,1.09
166,Sondim68,22,Female,30,Stormcaller,2.21
167,Aeral97,23,Male,157,"Spada, Etcher of Hatred",4.8
168,Iskjaskst81,20,Male,85,Malificent Bag,1.75
169,Heosurnuru52,16,Female,123,Twilight's Carver,2.28
170,Lisopela58,22,Male,75,Brutality Ivory Warmace,2.42
171,Caesrinusuir82,30,Male,102,Avenger,3.44
172,Tyirinu79,21,Male,65,Conqueror Adamantite Mace,4.24
173,Fironon91,30,Male,5,Putrid Fan,4.08
174,Lassjask63,30,Male,144,Blood Infused Guardian,1.94
175,Indcil77,17,Male,103,Singed Scalpel,4.35
176,Chamimla73,17,Male,157,"Spada, Etcher of Hatred",4.8
177,Syathe73,30,Female,135,Warped Diamond Crusader,1.4
178,Baelollodeu94,20,Female,57,"Despair, Favor of Due Diligence",4.6
179,Mindista32,24,Male,59,"Lightning, Etcher of the King",4.23
180,Saena74,24,Male,95,Singed Onyx Warscythe,4.74
181,Marirrasta50,16,Male,51,Endbringer,4.66
182,Lamil79,38,Male,154,Feral Katana,4.4
183,Aenarap34,21,Male,15,Soul Infused Crystal,2.96
184,Aisur51,28,Male,32,Orenmir,1.14
185,Thrientossa55,20,Male,150,Deathraze,2.85
186,Chadista79,30,Male,77,"Piety, Guardian of Riddles",4
187,Tyeurith29,8,Male,11,Brimstone,3.65
188,Malunil62,18,Male,88,"Emberling, Defender of Delusions",3.75
189,Hiasri33,23,Male,63,Stormfury Mace,4.99
190,Lisadar44,27,Male,69,"Frenzy, Defender of the Harvest",1.98
191,Frichjask31,23,Male,87,"Deluge, Edge of the West",4.43
