Date,DOW,Rank,Daily,Percent Change,Diff (k),Forecast,Percent Diff,Theaters,To Date,Row ID
26-Apr-21,Friday,1," $125,789.89 ",,-," $235,036.46 ",-46.48%,1000," $125,789.89 ",1
27-Apr-21,Saturday,1," $99,374.01 ",79.00%,-26416," $197,622.55 ",-49.72%,1000," $225,163.90 ",2
28-Apr-21,Sunday,1," $82,203.16 ",82.72%,-17171," $116,991.26 ",-29.74%,1000," $307,367.06 ",3
29-Apr-21,Monday,1," $33,530.26 ",40.79%,-48673," $66,652.65 ",-49.69%,1000," $340,897.32 ",4
30-Apr-21,Tuesday,1," $30,105.24 ",89.79%,-3425," $34,828.19 ",-13.56%,1000," $371,002.56 ",5
1-May-21,Wednesday,1," $22,955.06 ",76.25%,-7150," $29,879.53 ",-23.17%,1000," $393,957.62 ",6
2-May-21,Thursday,1," $19,579.02 ",85.29%,-3376," $20,236.81 ",-3.25%,1000," $413,536.63 ",7
3-May-21,Friday,1," $37,018.43 ",189.07%,17439," $38,390.96 ",-3.58%,1000," $450,555.06 ",8
4-May-21,Saturday,1," $55,900.40 ",151.01%,18882," $62,773.88 ",-10.95%,1000," $506,455.46 ",9
5-May-21,Sunday,1," $40,984.73 ",73.32%,-14916," $77,932.26 ",-47.41%,1000," $547,440.19 ",10
6-May-21,Monday,1," $9,724.08 ",23.73%,-31261," $10,277.44 ",-5.38%,1000," $557,164.26 ",11
7-May-21,Tuesday,1," $11,365.60 ",116.88%,1642," $22,025.22 ",-48.40%,1000," $568,529.86 ",12
8-May-21,Wednesday,1," $7,646.02 ",67.27%,-3720," $11,719.61 ",-34.76%,1000," $576,175.88 ",13
9-May-21,Thursday,1," $6,808.62 ",89.05%,-837," $11,803.75 ",-42.32%,1000," $582,984.50 ",14
10-May-21,Friday,2," $14,673.11 ",215.51%,7864," $26,898.20 ",-45.45%,1000," $597,657.61 ",15
11-May-21,Saturday,1," $24,949.01 ",170.03%,10276," $43,057.96 ",-42.06%,1000," $622,606.62 ",16
12-May-21,Sunday,1," $17,715.13 ",71.01%,-7234," $32,574.91 ",-45.62%,1000," $640,321.74 ",17
13-May-21,Monday,1," $4,253.08 ",24.01%,-13462," $6,542.69 ",-34.99%,1000," $644,574.82 ",18
14-May-21,Tuesday,1," $5,192.90 ",122.10%,940," $5,399.49 ",-3.83%,1000," $649,767.73 ",19
15-May-21,Wednesday,1," $3,418.58 ",65.83%,-1774," $6,790.71 ",-49.66%,1000," $653,186.30 ",20
16-May-21,Thursday,1," $3,079.61 ",90.08%,-339," $3,408.94 ",-9.66%,1000," $656,265.91 ",21
17-May-21,Friday,2," $6,729.05 ",218.50%,3649," $10,537.44 ",-36.14%,1000," $662,994.96 ",22
18-May-21,Saturday,2," $11,610.27 ",172.54%,4881," $14,775.96 ",-21.42%,1000," $674,605.23 ",23
19-May-21,Sunday,2," $8,627.63 ",74.31%,-2983," $10,419.87 ",-17.20%,1000," $683,232.86 ",24
20-May-21,Monday,2," $2,838.02 ",32.89%,-5790," $4,370.58 ",-35.07%,1000," $686,070.88 ",25
21-May-21,Tuesday,2," $2,601.62 ",91.67%,-236," $3,165.91 ",-17.82%,1000," $688,672.49 ",26
22-May-21,Wednesday,2," $1,783.67 ",68.56%,-818," $3,333.94 ",-46.50%,1000," $690,456.17 ",27
23-May-21,Thursday,2," $1,700.49 ",95.34%,-83," $2,443.32 ",-30.40%,1000," $692,156.65 ",28
24-May-21,Friday,3," $3,812.59 ",224.21%,2112," $4,984.40 ",-23.51%,1000," $695,969.25 ",29
25-May-21,Saturday,3," $5,737.14 ",150.48%,1925," $8,368.14 ",-31.44%,1000," $701,706.39 ",30
